No,file,lang,function,finishd?,need,
135,PMEM2,mlisp,SPECCONCEPT ,1,,
136,PMEM2,mlisp,LASTWORD ,1,,
137,PMEM2,mlisp,RESTART ,1,,
138,PMEM3,mlisp,SELECTINPUT ,,,
139,PMEM3,mlisp,SELECTINPUTN ,,,
140,PMEM3,mlisp,READINC ,0,,
141,PMEM3,mlisp,READDATA ,0,,
142,PMEM3,mlisp,INITFILE ,,,
143,PMEM3,mlisp,INIT_FILE ,,,
144,PMEM3,mlisp,INIT_TO_FILE ,,,
145,PMEM3,mlisp,TO_FILE ,,,
146,PMEM3,mlisp,TO_FILE1,,,
147,PMEM3,mlisp,TO_FILE2,,,
148,PMEM3,mlisp,ERROR_FILE ,,,
149,PMEM4,mlisp,INIT ,1,,
150,PMEM4,mlisp,INITFB ,1,,
151,PMEM4,mlisp,TESTM ,1,,
152,PMEM4,mlisp,LAMBDANAME ,1,,
153,PMEM4,mlisp,PARRY ,1,,
154,PMEM4,mlisp,PARRY2,1,,
155,PMEM4,mlisp,INITB ,1,,
156,PMEM4,mlisp,REACTPRINT,,,
157,PMEM4,mlisp,PMIN ,,,
158,PMEM4,mlisp,DOSF ,,,
159,PMEM4,mlisp,CHOOSELEAD ,,,
160,PMEM4,mlisp,PRINTVARS ,,,
161,PMEM4,mlisp,WPRINTVARS ,,,
162,PMEM4,mlisp,NOT_LAST_INPUT ,,,
163,PMEM4,mlisp,ANGERFEARMODE ,1,,
164,PMEM4,mlisp,ANGERMODE ,1,,
165,PMEM4,mlisp,FEARMODE ,1,,
166,PMEM4,mlisp,TOPICANALYZE ,1,,
167,PMEM4,mlisp,PREVTOPIC ,1,,
168,PMEM4,mlisp,HISTORY ,1,,
169,PMEM4,mlisp,ADDH ,1,,
170,PMEM4,mlisp,REACT2,1,,
171,PMEM4,mlisp,REACT3,,,
172,PMEM4,mlisp,SUBFUN1REACT,,,
173,PMEM4,mlisp,SUBFUN2REACT,,,
174,PMEM4,mlisp,SUBFUN3REACT,,,
175,PMEM4,mlisp,SUBFUN4REACT,,,
176,PMEM4,mlisp,REACT ,,,
177,PMEM4,mlisp,BINIT ,,,
178,PMEM4,mlisp,READBEL ,1,,
179,PMEM4,mlisp,READINF ,1,,
180,PMEM4,mlisp,POSIT ,,,
181,PMEM4,mlisp,ASSERT ,,,
182,PMEM4,mlisp,ASSERT2,,,
183,PMEM4,mlisp,ADDTO ,,,
184,PMEM4,mlisp,GET0,,,
185,PMEM4,mlisp,PROVE ,,,
186,PMEM4,mlisp,PROVE2,,,
187,PMEM4,mlisp,EVALUATE ,,,
188,PMEM4,mlisp,BL ,1,,
189,PMEM4,mlisp,STATED ,,,
190,PMEM4,mlisp,INFERENCE ,,,
191,PMEM4,mlisp,RESTART ,,,
192,PMEM5,mlisp,EXPERIMENT ,1,,
193,PMEM5,mlisp,ERROR ,1,,→ paerror
194,PMEM5,mlisp,ALLOWRUN ,1,,
195,PMEM5,mlisp,SUMEXALLOW ,1,,
196,PMEM5,mlisp,MEASURE ,1,,
197,PMEM5,mlisp,INF ,1,,
198,PMEM5,mlisp,GN ,1,,
199,PMEM5,mlisp,GN2,1,,
200,PMEM5,mlisp,INITPARAMS1,1,,
201,PMEM5,mlisp,TIMESTAT ,1,,
202,PMEM5,mlisp,ANDDO ,1,,
203,PMEM5,mlisp,WINDOW ,1,,
204,PMEM5,mlisp,WINDOWSET ,1,,
205,PMEM5,mlisp,WINDOW_PRINT ,1,,
206,PMEM5,mlisp,TWINDOW ,1,,
207,PMEM5,mlisp,SUMEX1,1,,
208,PMEM5,mlisp,SUMEX2,1,,
209,PMEM5,mlisp,CHECKINPUT ,1,,
210,PMEM5,mlisp,APOLOGY ,1,,
211,PMEM5,mlisp,HELPER ,1,,
212,PMEM5,mlisp,KNOWER ,1,,
213,PMEM5,mlisp,LEADIN ,1,,
214,PMEM5,mlisp,ALOOF ,1,,
215,PMEM5,mlisp,ALOOF2,1,,
216,PMEM5,mlisp,NAMECHECK ,1,,
217,PMEM5,mlisp,MEMSIZEOK ,1,,
218,PMEM5,mlisp,OPINION ,1,,
219,PMEM5,mlisp,SELFFEELING ,1,,
220,PMEM5,mlisp,INTERVIEW ,1,,
221,PMEM5,mlisp,AFFECT ,1,,
222,PMEM5,mlisp,INFEMOTE ,1,,
223,PMEM5,mlisp,ZERONIL ,1,,
224,PMEM5,mlisp,INTENTION ,1,,
225,PMEM5,mlisp,DOINTENT ,1,,
226,PMEM5,mlisp,PINTERACT ,1,,
227,PMEM5,mlisp,PGAMES ,1,,
228,PMEM5,mlisp,PFACTS ,1,,
229,PMEM5,mlisp,PMAFIA ,1,,
230,PMEM5,mlisp,PHELP ,1,,
231,PMEM5,mlisp,PSTOP ,1,,
232,PMEM5,mlisp,PTELL ,1,,
233,PMEM5,mlisp,PSTRONGFEEL ,1,,
234,PMEM5,mlisp,PCONFIRM ,1,,
235,PMEM5,mlisp,PSELF ,1,,
236,PMEM5,mlisp,PEXIT ,1,,
237,PMEM5,mlisp,PEXIT2,1,,
238,PMEM5,mlisp,LULL ,1,,
239,PMEM5,mlisp,PPARANOIA ,1,,
240,PMEM5,mlisp,STRONGFEEL ,1,,
241,PMEM5,mlisp,PARANOIA ,1,,
242,RANDOM,LAP,RANDOM,,,
243,SAVEJ,ASM,SAVEJOB ,,,
244,SAVEJ,ASM,SIXBIT ,,,
245,WIN,mlisp,PMCLR ,,,
246,WIN,mlisp,MMCLR ,,,
247,WIN,mlisp,WINDOW ,,,
248,WIN,mlisp,SPECWIN ,,,
249,WIN,mlisp,WININIT ,,,
250,WIN,mlisp,WINHELP ,,,
251,WIN,mlisp,WINDOWSET ,,,
252,WIN,mlisp,TWINDOW ,,,
253,WIN,mlisp,PMWIN ,,,
254,WIN,mlisp,MMWIN ,,,
255,WIN,mlisp,MMWIN2,,,
256,WIN,mlisp,RESTART ,,,
,,,,137,,
