file,function,comment
PMEM5,ALLOWRUN ,""
PMEM5,SUMEXALLOW ,""
PMEM5,MEASURE ,""
PMEM5,INF ,""
PMEM5,GN ,""
PMEM5,GN2 ,""
PMEM5,INITPARAMS1 ,""
PMEM5,TIMESTAT ,""
PMEM5,ANDDO ,""
PMEM5,WINDOW ,""
PMEM5,WINDOWSET ,""
PMEM5,WINDOW_PRINT ,""
PMEM5,TWINDOW ,""
PMEM5,SUMEX1 ,""
PMEM5,SUMEX2 ,""
PMEM5,SUBFUN1CHECKINPUT ,""
PMEM5,CHECKINPUT ,""
PMEM5,APOLOGY ,""
PMEM5,HELPER ,""
PMEM5,KNOWER ,""
PMEM5,LEADIN ,""
PMEM5,ALOOF ,""
PMEM5,ALOOF2 ,""
PMEM5,NAMECHECK ,""
PMEM5,MEMSIZEOK ,""
PMEM5,OPINION ,""
PMEM5,SELFFEELING ,""
PMEM5,INTERVIEW ,""
PMEM5,AFFECT ,""
PMEM5,INFEMOTE ,""
PMEM5,ZERONIL ,""
PMEM5,INTENTION ,""
PMEM5,SUBFUN1DOINTENT ,""
PMEM5,DOINTENT ,""
PMEM5,PINTERACT ,""
PMEM5,PGAMES ,""
PMEM5,PFACTS ,""
PMEM5,PMAFIA ,""
PMEM5,PHELP ,""
PMEM5,PSTOP ,""
PMEM5,PTELL ,""
PMEM5,PSTRONGFEEL ,""
PMEM5,PCONFIRM ,""
PMEM5,PSELF ,""
PMEM5,PEXIT ,""
PMEM5,PEXIT2 ,""
PMEM5,LULL ,""
PMEM5,PPARANOIA ,""
PMEM5,STRONGFEEL ,""
PMEM5,PARANOIA ,""
PMEM5,RESTART ,""
RANDOM,RANDOM,""
SAVEJ,SAVEJOB ,""
SAVEJ,SIXBIT ,""
WIN,PMCLR ,""
WIN,MMCLR ,""
WIN,WINDOW ,""
WIN,SPECWIN ,""
WIN,WININIT ,""
WIN,WINHELP ,""
WIN,WINDOWSET ,""
WIN,TWINDOW ,""
WIN,PMWIN ,""
WIN,MMWIN ,""
WIN,MMWIN2 ,""
WIN,RESTART ,""
