RESIDENCE STORY XX2290
RESIDENCE STORY XX2330
RESIDENCE WORDS HOME
WORK STORY XX0460
WORK STORY XX0462
WORK STORY XX0490
WORK WORDS JOB
REASON UNIT @@0030
MANNER UNIT @@0031
@@0010 UNIT GO_ON
@@0020 UNIT HOW_KNOW
@@0021 UNIT ELAB
@@0030 UNIT WHY
@@0031 UNIT HOW
@@0032 UNIT WHERE
@@0033 UNIT WHEN
@@0034 UNIT HOW_LONG
@@0035 UNIT WHO
@@0036 UNIT WHAT
@@0037 UNIT YOU_DO
@@0038 UNIT THEY_DO
@@0040 UNIT HOW_MUCH
HELLO IND @@0042
MADEXIT IND @@0043
FEAREXIT IND @@4443
EXIT IND @@0044
BYE IND @@0045
BYEOFF IND @@0046
BYEFEDUP IND @@4446
YES IND @@0220
NO IND @@0230
CORRECT IND @@0240
INCORRECT IND @@0260
MAYBE IND @@0270
DONTUNDERSTAND IND @@0280
DONTKNOW IND @@0284
DONTREMEMBER IND @@0286
UPSET IND @@0300
REPEAT IND @@0550
INTBAD IND @@0574
PRAISE IND @@0576
DOK IND @@0578
KNOWER IND @@0634
OPINION IND @@0639
SELFFEELING IND @@0641
DSOCIABLE IND @@0645
DHELPFUL IND @@0646
DRATIONAL IND @@0647
DHOSTILE IND @@0650
DABNORMAL IND @@0651
DEXCITED IND @@0652
DDHELP IND @@0662
*DHONEST IND @@0663
GOOD IND @@0664
LEADIN IND @@0801
GAMES IND @@1590
MISSPELLED IND @@1594
GIBBERISH IND @@1596
TIRED IND @@1598
SWEARING IND @@2410
SWEARING STORY XX2410
SWEARING WORDS SHIT
ACCUSE IND @@2480
PACCUSE IND @@2481
SORRY IND @@2482
DISTANCE IND @@2490
PDISTANCE IND @@2491
HOSTILEREPLIES IND @@2500
PHOSTILEREPLIES IND @@2501
ANGER IND @@2510
PANGER IND @@2511
PERS IND @@2520
PPERS IND @@2521
WFEEL IND @@2530
CAUTION IND @@2540
PCAUTION IND @@2541
PROBE IND @@2542
AVOIDANCE IND @@2544
LIE IND @@2546
NOMAFIA IND @@2548
AFRAID IND @@2550
PAFRAID IND @@2551
THREATQ IND @@2560
